sensor1,sensor2,speedSet,load_value,gear_fault_desc,gear_fault,year,month,day,hour,minute,second
2.5045754450744555,2.434438187527803,40.0,80,Root crack,1,2023,5,3,15,3,39
2.5175516770990765,2.426225404604137,8.33203125,80,surface defect,5,2023,5,2,14,31,46
2.5170589086902595,2.433616909135215,40.0,0,Root crack,1,2023,5,3,15,1,5
2.522150849311644,2.425568382066378,40.0,0,surface defect,5,2023,5,7,17,11,46
2.5251074603986736,2.43312414211036,25.0,0,eccentricity,3,2023,5,3,20,20,3
2.5214938246659275,2.4321386080847143,8.33203125,80,chipped tooth,2,2023,5,2,16,4,33
2.5208368000348567,2.43033179578767,8.33203125,0,missing tooth,4,2023,5,3,13,6,38
2.522150849311644,2.426225404604137,8.33203125,80,chipped tooth,2,2023,5,2,16,4,30
2.5393977515091697,2.4441292742453427,40.0,80,Root crack,1,2023,5,3,15,3,39
2.516401884157968,2.433616909135215,25.0,0,Root crack,1,2023,5,3,14,59,9
